"","names","node"
"1","AntiSJW",0
"2","MRA",1
"3","AntiTheist",2
"4","Educational",3
"5","WhiteIdentitarian",4
"6","Socialist",5
"7","Provocateur",6
"8","PartisanLeft",7
"9","MissingLinkMedia",8
"10","ManoelAltLite",9
"11","Conspiracy",10
"12","Libertarian",11
"13","Mainstream News",12
"14","PartisanRight",13
"15","ManoelAltRight",14
"16","SocialJustice",15
"17","ReligiousConservative",16
"18","StateFunded",17
"19","AntiWhiteness",18
"20","LateNightTalkShow",19
"21","AntiSJW _",20
"22","AntiTheist _",21
"23","AntiWhiteness _",22
"24","Conspiracy _",23
"25","Educational _",24
"26","LateNightTalkShow _",25
"27","Libertarian _",26
"28","Mainstream News _",27
"29","ManoelAltLite _",28
"30","MissingLinkMedia _",29
"31","MRA _",30
"32","PartisanLeft _",31
"33","PartisanRight _",32
"34","Provocateur _",33
"35","ReligiousConservative _",34
"36","Socialist _",35
"37","SocialJustice _",36
"38","StateFunded _",37
"39","WhiteIdentitarian _",38
