,AntiSJW,AntiWhiteness,Conspiracy,Educational,LateNightTalkShow,Libertarian,Mainstream News,MissingLinkMedia,Others,PartisanLeft,PartisanRight,SocialJustice,StateFunded,AntiTheist,Socialist,MRA,Provocateur,ReligiousConservative,WhiteIdentitarian,ManoelAltLite,ManoelAltRight
PartisanRight ,0.053054662,0.006430868,0.008038585,0.009646302,0.008038585,0.073954984,0.003215434,0.008038585,0.51607717,0.045016077,0.24437299,0.020900322,0.003215434,0,0,0,0,0,0,0,0
PartisanLeft ,0.022187005,0,0,0.003169572,0.125198098,0.011093502,0.00792393,0,0.683042789,0.071315372,0.023771791,0.047543582,0.004754358,0,0,0,0,0,0,0,0
Libertarian ,0.069952305,0,0.019077901,0.027027027,0.004769475,0.146263911,0.0063593,0,0.600953895,0.033386328,0.034976153,0.004769475,0.012718601,0.038155803,0.001589825,0,0,0,0,0,0
AntiSJW ,0.227848101,0,0,0.001582278,0.004746835,0.128164557,0.001582278,0.001582278,0.42721519,0.015822785,0.045886076,0.012658228,0,0.129746835,0.001582278,0.001582278,0,0,0,0,0
WhiteIdentitarian ,0.100961538,0,0,0.003205128,0,0.006410256,0.001602564,0,0.66025641,0.006410256,0.006410256,0.011217949,0,0,0,0,0.004807692,0.102564103,0.096153846,0,0
MRA ,0.095238095,0,0,0.044444444,0.014285714,0.120634921,0.003174603,0.003174603,0.480952381,0.041269841,0.055555556,0.044444444,0.006349206,0,0,0.074603175,0.011111111,0.004761905,0,0,0
ReligiousConservative ,0.053968254,0,0,0.044444444,0,0.012698413,0,0,0.623809524,0.020634921,0.007936508,0.019047619,0,0.003174603,0.001587302,0,0.001587302,0.211111111,0,0,0
SocialJustice ,0.001587302,0,0,0.012698413,0.007936508,0.001587302,0.014285714,0.001587302,0.714285714,0.077777778,0.026984127,0.114285714,0.015873016,0.001587302,0.007936508,0,0.001587302,0,0,0,0
Mainstream News ,0.001689189,0,0,0.025337838,0.005067568,0.003378378,0.081081081,0,0.625,0.126689189,0.003378378,0.015202703,0.113175676,0,0,0,0,0,0,0,0
AntiTheist ,0.019077901,0,0,0.017488076,0.007949126,0.014308426,0,0,0.593004769,0.012718601,0.001589825,0.007949126,0.004769475,0.319554849,0.001589825,0,0,0,0,0,0
StateFunded ,0.001584786,0,0,0.006339144,0.006339144,0.004754358,0.014263074,0.001584786,0.606973059,0.109350238,0.012678288,0.011093502,0.22503962,0,0,0,0,0,0,0,0
Conspiracy ,0.084745763,0,0.101694915,0.001694915,0,0.120338983,0.013559322,0,0.53559322,0.061016949,0.042372881,0.023728814,0.015254237,0,0,0,0,0,0,0,0
Educational ,0.049206349,0,0,0.371428571,0.001587302,0.001587302,0,0,0.374603175,0.023809524,0.001587302,0.001587302,0.004761905,0.168253968,0.001587302,0,0,0,0,0,0
Socialist ,0.059016393,0,0,0.021311475,0.008196721,0.032786885,0.004918033,0,0.57704918,0.063934426,0.004918033,0.021311475,0.049180328,0.001639344,0.040983607,0,0.114754098,0,0,0,0
Provocateur ,0.136507937,0,0,0.011111111,0.012698413,0.134920635,0.007936508,0.001587302,0.43968254,0.046031746,0.182539683,0.012698413,0.011111111,0,0,0,0.003174603,0,0,0,0
LateNightTalkShow ,0.001587302,0,0,0.003174603,0.392063492,0,0.001587302,0,0.407936508,0.185714286,0.001587302,0.006349206,0,0,0,0,0,0,0,0,0
ManoelAltRight ,0.054662379,0,0,0.049839228,0,0.02733119,0.001607717,0,0.742765273,0.025723473,0.02733119,0.009646302,0,0,0,0,0.003215434,0.006430868,0.051446945,0,0
AntiWhiteness ,0,0.285714286,0,0.004761905,0.015873016,0,0.011111111,0.003174603,0.574603175,0.057142857,0.004761905,0.022222222,0.020634921,0,0,0,0,0,0,0,0
MissingLinkMedia ,0.017460317,0.011111111,0,0.006349206,0.012698413,0.058730159,0.015873016,0.066666667,0.542857143,0.076190476,0.138095238,0.03968254,0.00952381,0.001587302,0,0,0,0.003174603,0,0,0
ManoelAltLite ,0.149206349,0,0,0.014285714,0.022222222,0.104761905,0.012698413,0.00952381,0.523809524,0.031746032,0.076190476,0.036507937,0.00952381,0,0,0,0.004761905,0,0.003174603,0.001587302,0
Others,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
